reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,54,5,7,l,0.8020189999369904,None,7,5,54,2,114.37083699996583,,114.35899900004733,114.37083699996583,115.3698353000218,115.3698353000218,115.3698353000218,116.17371200001799,l,0.8020189999369904,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
11,30,7,55,6,7,l,0.7526546000735834,None,7,6,55,0,116.18732100003399,,116.17594500002451,116.18732100003399,117.18714299995918,117.18714299995918,117.18714299995918,117.95626230002381,l,0.7526546000735834,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
15,35,13,56,0,8,l,0.8743034000508487,None,8,0,56,1,117.96966709999833,,117.9585064999992,117.96966709999833,118.9705748000415,118.9705748000415,118.9705748000415,119.8561725000618,l,0.8743034000508487,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
11,30,7,57,1,8,l,0.7447966999607161,None,8,1,57,0,119.87064640002791,,119.85861840005964,119.87064640002791,120.87014430004638,120.87014430004638,120.87014430004638,121.62373500003014,l,0.7447966999607161,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
78,80,162,58,2,8,t,0.6460397999035195,None,8,2,58,6,121.63704139995389,,121.62614690000191,121.63704139995389,122.63663980003912,122.63663980003912,122.63663980003912,123.28984850004781,t,0.6460397999035195,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
49,60,89,59,3,8,t,0.8117857999168336,None,8,3,59,4,123.30385480006225,,123.2922896000091,123.30385480006225,124.30371590005234,124.30371590005234,124.30371590005234,125.12251300003845,t,0.8117857999168336,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
67,75,119,60,4,8,t,0.7544542999239638,None,8,4,60,5,125.1367651000619,,125.12457800004631,125.1367651000619,126.13643890002277,126.13643890002277,126.13643890002277,126.90698029997293,t,0.7544542999239638,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
40,55,62,61,5,8,l,1.2161936999764293,None,8,5,61,3,126.91983849997632,,126.90904679999221,126.91983849997632,127.92064410005696,127.92064410005696,127.92064410005696,129.14061030000448,l,1.2161936999764293,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
27,50,21,62,6,8,l,2.733708499930799,None,8,6,62,2,129.15326010005083,,129.14352419995703,129.15326010005083,130.15314990002662,130.15314990002662,130.15314990002662,132.89008050004486,l,2.733708499930799,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
40,55,62,63,0,9,l,2.1728549000108615,None,9,0,63,3,132.90342700004112,,132.892093500006,132.90342700004112,133.9031597999856,133.9031597999856,133.9031597999856,136.08953800005838,l,2.1728549000108615,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
